candidate_id,park_id,park_name,amap_poi_id,poi_name,standard_categories,amap_keywords,amap_type,amap_typecode,address,business_area,longitude,latitude,min_distance_m,distance_band,rating,cost_yuan,opentime_today,opentime_week,tel,source_query_ids,pdf_seed_match_status,pdf_seed_poi_record_ids,pdf_seed_poi_names,in_park_status,validation_status,confidence,notes
AMAP-POI-0001,sample_city_green_heart,城市绿心森林公园,B0FFG65CN4,易捷便利店(中国石化暖风加油站店),convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,星月泡沫北门西210米,张家湾,116.721637,39.862327,1291,1001-1500m,3.7,,24小时营业,周一至周日 00:00-24:00,010-69573705,cg_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0002,sample_city_green_heart,城市绿心森林公园,B0HUA54VCM,SP上品鲜生上品便利店,convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,城市绿心活力汇西南门东南140米,张家湾,116.719120,39.867642,830,501-1000m,3.9,,08:00-21:30,周一至周日 08:00-21:30,18221078401,cg_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0003,sample_city_green_heart,城市绿心森林公园,B0I62DFQB4,童星屋游乐场,convenience_retail,便利店,体育休闲服务;休闲场所;游乐场|购物服务;购物相关场所;购物相关场所,080501|060000,绿心公园p11停车场向西100米,张家湾,116.717717,39.866227,1028,1001-1500m,4.2,,09:30-20:00,周一至周日 09:30-20:00,13212123696,cg_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0004,sample_city_green_heart,城市绿心森林公园,B0KALBDUJY,绿芯栈咖啡,coffee;cold_drink,咖啡;冷饮,餐饮服务;咖啡厅;咖啡厅,050500,绿心路1号院3号楼北京城市图书馆二层,,116.715067,39.884010,1424,1001-1500m,4.1,33.00,10:00-20:00,周二至周日 10:00-20:00,13601209620,cg_coffee;cg_cold_drink,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0005,sample_city_green_heart,城市绿心森林公园,B0KK09EIAA,喜茶(北京通州三大馆店),cold_drink,冷饮,餐饮服务;冷饮店;冷饮店,050700,滨河中路22号DPONE源心b1-057喜茶,,116.714336,39.881997,1293,1001-1500m,4.4,20.00,10:00-21:00,周一至周日 10:00-21:00,15011236705,cg_cold_drink,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0006,sample_city_green_heart,城市绿心森林公园,B0KK2Z648N,肯德基(上码头路店),fast_food,小吃快餐,餐饮服务;快餐厅;肯德基,050301,城市副中心绿心源·心项目的B1-075号铺位,,116.714309,39.882493,1335,1001-1500m,4.4,29.00,10:00-20:30,周一至周日 10:00-20:30,18010428609,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0007,sample_city_green_heart,城市绿心森林公园,B0KK3HHAAB,爷爷不泡茶(北京通州源·心店),cold_drink,冷饮,餐饮服务;餐饮相关场所;餐饮相关,050000,滨河中路22号DPOne源•心B1-067号,,116.714485,39.882130,1295,1001-1500m,4.4,20.00,09:30-21:30,周一至周日 09:30-21:30,18101075828,cg_cold_drink,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0008,sample_city_green_heart,城市绿心森林公园,B0L67C0G79,张拉拉手撕牛肉面,fast_food,小吃快餐,餐饮服务;餐饮相关场所;餐饮相关,050000,绿心路1号院6号-1层B1-066号,,116.714966,39.882037,1259,1001-1500m,4.2,29.00,11:00-19:30,周一至周日 11:00-19:30,13260156910,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0009,sample_city_green_heart,城市绿心森林公园,B0L6HCI1CR,三元梅园(源心店),cold_drink,冷饮,餐饮服务;甜品店;甜品店,050900,北京城区上码头路DPOne源心商业负一层074号,,116.714456,39.882090,1293,1001-1500m,4.0,24.00,10:00-22:00,周一至周日 10:00-22:00,13071125369,cg_cold_drink,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0010,sample_city_green_heart,城市绿心森林公园,B0L6HCI1K7,陆记金圣生滚牛肉面(D.P.ONE源心店),fast_food,小吃快餐,餐饮服务;中餐厅;中餐厅,050100,张家湾镇绿心路1号院6号B1层59号,,116.714421,39.882190,1303,1001-1500m,3.9,36.00,11:00-20:30,周二至周日 11:00-20:30,15712898582,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0011,sample_city_green_heart,城市绿心森林公园,B0L6P7DCSU,爷爷不泡茶NOYEYENOTEA(北京通州源·心店),cold_drink,冷饮,餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,滨河中路22号DPOne源•心B1-067号,,116.714525,39.882125,1292,1001-1500m,4.2,13.00,09:30-21:30,周一至周日 09:30-21:30,18101075828,cg_cold_drink,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0012,sample_city_green_heart,城市绿心森林公园,B0L6YOTDL3,东田越南粉(北京通州DPONE源心广场店),fast_food,小吃快餐,餐饮服务;外国餐厅;外国餐厅,050200,上码头路D·P·One源·心负1层B1-065B号,,116.714625,39.883375,1391,1001-1500m,4.3,68.00,11:00-20:00,周一至周日 11:00-20:00,010-80272899,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0013,sample_city_green_heart,城市绿心森林公园,B0LA5SQE15,棒约翰比萨(北京绿心公园店),fast_food,小吃快餐,餐饮服务;快餐厅;快餐厅,050300,永顺镇北京城市图书馆DPOne源·心商场(上码头路与惠林路交叉口)B1层-068号,,116.714475,39.882179,1299,1001-1500m,4.3,55.00,10:00-22:00,周一至周日 10:00-22:00,15010162383,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0014,sample_city_green_heart,城市绿心森林公园,B0LB7DEX6I,必胜客(惠林路店),fast_food,小吃快餐,餐饮服务;快餐厅;必胜客,050303,北京城区城市副中心绿心源心项目的B1-053号,,116.714196,39.881964,1299,1001-1500m,4.4,,09:30-20:00,周一至周日 09:30-20:00,18010479007,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0015,sample_city_green_heart,城市绿心森林公园,B0LBNLTLX6,米村拌饭(通州源心店),fast_food,小吃快餐,餐饮服务;中餐厅;中餐厅,050100,北京城区绿心路1号院6号-1层B1-064号(下扶梯右转2号门进去),,116.714174,39.882018,1304,1001-1500m,4.6,37.00,10:00-20:00,周一至周日 10:00-20:00,15936065827,cg_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0016,sample_city_green_heart,城市绿心森林公园,B0LRHZ82NP,梦奥体育,sports_supply,运动装备,体育休闲服务;体育休闲服务场所;体育休闲服务场所,080000,绿心路与运兴路交叉口西北200米,张家湾,116.719038,39.868211,784,501-1000m,2.5,,,,,cg_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0017,sample_olympic_forest,奥林匹克森林公园,B000A2B35D,上州屋户外用品(华馨公寓店),sports_supply,运动装备,购物服务;专卖店;专营店|公司企业;公司;公司,061200|170200,大屯路路北辅路(安立路地铁站A1西北口步行400米),北辰,116.402326,40.002837,1960,1501-3000m,4.2,,08:30-17:00,周一至周日 08:30-17:00,010-64981698,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0018,sample_olympic_forest,奥林匹克森林公园,B000A805VN,好邻居便利店(北沙滩店),convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,科学园南里风林绿洲6-2号,北辰,116.384057,40.001695,2008,1501-3000m,4.2,,24小时营业,周一至周日 00:00-24:00,010-64839699,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0019,sample_olympic_forest,奥林匹克森林公园,B000A85FZ1,中灿便利店,convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,安立路58号中灿苑,北辰,116.410425,40.007425,1995,1501-3000m,3.5,,08:30-20:00,周一至周日 08:30-20:00,,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0020,sample_olympic_forest,奥林匹克森林公园,B000A8UOVR,马哥孛罗咖啡厅(安立路),coffee,咖啡,餐饮服务;咖啡厅;咖啡厅,050500,安立路78号马哥孛罗大酒店B1楼,亚运村,116.408756,40.005393,2043,1501-3000m,4.2,176.00,06:30-10:00 11:30-14:00 17:30-21:30,"周一至周日 06:30-10:00,11:30-14:00,17:30-21:30",010-59636420;010-59636688,os_coffee,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0021,sample_olympic_forest,奥林匹克森林公园,B000A8WEGC,星巴克(北辰世纪中心店),tea_drink,茶饮,餐饮服务;咖啡厅;星巴克咖啡,050501,北京城区北京城区北辰西路8号院3号楼B座北辰世纪中心首层109单元,北辰,116.387790,39.999223,2192,1501-3000m,4.6,30.00,07:00-21:30,周一至周日 07:00-21:30,010-84370795,os_tea,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0022,sample_olympic_forest,奥林匹克森林公园,B000A8X8YN,高烧工房总店(中华高尔夫),sports_supply,运动装备,购物服务;体育用品店;户外用品,060907,科荟路名苑雅居小区底商高烧工房,二里庄,116.371970,40.009507,1998,1501-3000m,4.5,,10:00-18:00,周一至周日 10:00-18:00,15001024811,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0023,sample_olympic_forest,奥林匹克森林公园,B000A8XA9U,7-ELEVEn(国奥中心店),convenience_retail,便利店,购物服务;便民商店/便利店;7-ELEVEn便利店,060201,林萃东路2号院甲3号楼1层108,北辰,116.381422,40.009174,1395,1001-1500m,4.2,,24小时营业,周一至周日 00:00-24:00,13426063577,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0024,sample_olympic_forest,奥林匹克森林公园,B000A8XB4Y,眉州小吃(国奥村店),fast_food,小吃快餐,餐饮服务;中餐厅;中餐厅,050100,林萃东路1号国奥中心A座F1层,北辰,116.381366,40.008694,1439,1001-1500m,4.6,32.00,06:00-22:00,周一至周日 06:00-22:00,15984310729;16619970588,os_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0025,sample_olympic_forest,奥林匹克森林公园,B000A9DPF9,中奥凯富国际酒店咖啡厅,coffee,咖啡,餐饮服务;咖啡厅;咖啡厅,050500,慧忠北里302号中奥凯富国际酒店3层,北辰,116.406725,40.005025,1959,1501-3000m,3.9,145.00,11:30-14:00 17:30-21:30,"周一至周日 11:30-14:00,17:30-21:30",010-59636699,os_coffee,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0026,sample_olympic_forest,奥林匹克森林公园,B000A9JN28,加加游(奥森店),fast_food,小吃快餐,餐饮服务;快餐厅;快餐厅,050300,科荟路33号奥林匹克森林公园南园南门入口东侧,,116.393433,40.011695,780,501-1000m,4.2,20.00,07:00-21:00,周一至周日 07:00-21:00,18686818172,os_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0027,sample_olympic_forest,奥林匹克森林公园,B000A9PR0P,动力基因网羽专卖(奥运村店),sports_supply,运动装备,购物服务;家居建材市场;布艺市场,060605,林翠路京师园小区3-6底商,林萃,116.373731,40.017425,1576,1501-3000m,4.4,,10:00-18:00,周一至周日 10:00-18:00,13522596534,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0028,sample_olympic_forest,奥林匹克森林公园,B000AA1BGG,星巴克(北京天畅园咖啡店),tea_drink,茶饮,餐饮服务;咖啡厅;星巴克咖啡,050501,北京城区北京城区北苑路34号天畅园7号楼1层108号,北苑,116.416016,40.033104,2594,1501-3000m,4.6,30.00,07:00-20:30,周一至周日 07:00-20:30,010-84828823,os_tea,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0029,sample_olympic_forest,奥林匹克森林公园,B000AA1DOY,苏摩瑜伽(安立路店),yoga_pilates,瑜伽,体育休闲服务;运动场馆;健身中心,080111,安立路66安立写字楼B座(安立路地铁站B东北口步行100米),北辰,116.408303,40.003553,2171,1501-3000m,3.0,,,,010-64907821,os_yoga,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0030,sample_olympic_forest,奥林匹克森林公园,B000AA3W5B,优个网直营店,sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,第五大道日购商城3层新华书店内(安立路地铁站A2西北口旁),北辰,116.406425,40.003025,2121,1501-3000m,4.1,,09:00-19:30,周一至周五 09:00-19:30；周六至周日 09:00-18:00,010-64804588;4000996400,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0031,sample_olympic_forest,奥林匹克森林公园,B0FFF3O6ID,中国科学技术馆-观众餐厅,restaurant,餐厅,餐饮服务;中餐厅;中餐厅,050100,北辰东路5号中国科学技术馆内,北辰,116.398478,40.006021,1504,1501-3000m,4.2,47.00,09:00-17:00,周二至周日 09:00-17:00,010-59041000,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0032,sample_olympic_forest,奥林匹克森林公园,B0FFF65ON3,静馨瑜伽(北苑路北店),yoga_pilates,瑜伽;普拉提,体育休闲服务;运动场馆;健身中心,080111,林萃东路2号院国奥中心三层,北辰,116.381678,40.009541,1350,1001-1500m,4.4,102.00,08:30-21:00,周一至周日 08:30-21:00,18601978866,os_yoga;os_pilates,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0033,sample_olympic_forest,奥林匹克森林公园,B0FFF6X7AP,COSTA COFFEE(北投新奥购物中心店),coffee,咖啡,餐饮服务;咖啡厅;咖啡厅,050500,湖景东路9号北投新奥购物中心B区H1层H1-93-02,北辰,116.394255,40.000206,2059,1501-3000m,4.6,34.00,08:00-22:00,周一至周日 08:00-22:00,010-84378772,os_coffee,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0034,sample_olympic_forest,奥林匹克森林公园,B0FFFD24NW,孔雀花园餐厅,restaurant,餐厅,餐饮服务;外国餐厅;西餐厅(综合风味),050201,紫玉东路一号紫玉山庄内的餐厅停车场,,116.410017,40.011455,1719,1501-3000m,4.6,366.00,11:00-21:00 11:00-21:00,周一至周日 11:00-21:00 2026-05-01至2026-05-05 周一至周日 11:00-21:00,13810814773,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0035,sample_olympic_forest,奥林匹克森林公园,B0FFFH0AYS,LAWSON罗森(北投新奥购物中心店),convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,天辰东路8-10-12号B5区域,北辰,116.392461,40.000081,2065,1501-3000m,4.5,,06:00-23:00,周一至周日 06:00-23:00,010-84374563;13910240318;4008206390,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0036,sample_olympic_forest,奥林匹克森林公园,B0FFGB2XII,心地瑜伽(亚运村店),yoga_pilates,瑜伽,体育休闲服务;运动场馆;健身中心,080111,大屯北路与安立路辅路交叉口东120米,亚运村,116.409625,40.005425,2092,1501-3000m,4.6,145.00,07:30-21:30,周一至周五 07:30-21:30；周六至周日 08:00-20:30,010-64827566,os_yoga,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0037,sample_olympic_forest,奥林匹克森林公园,B0FFGDK7D2,国家会议中心大酒店-咖啡厅,coffee,咖啡,餐饮服务;咖啡厅;咖啡厅,050500,北辰西路8号院1号楼国家会议中心大酒店2层,北辰,116.388033,40.001609,1927,1501-3000m,3.9,76.00,06:30-22:00,周一至周日 06:30-22:00,010-84372008,os_coffee,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0038,sample_olympic_forest,奥林匹克森林公园,B0FFGFEPKR,星巴克(陈家营西路店),tea_drink,茶饮,餐饮服务;咖啡厅;星巴克咖啡,050501,北京城区北京城区陈家营西路3号院23号楼招商嘉铭珑原商业楼1层101-2单元,东小口,116.401328,40.040615,2568,1501-3000m,4.6,30.00,07:00-18:00,周一至周日 07:00-18:00,010-64696320,os_tea,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0039,sample_olympic_forest,奥林匹克森林公园,B0FFGJOSNQ,来跑吧运动服务中心(奥森店),sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,奥林匹克森林公园南园(东南角),,116.396698,40.010826,951,501-1000m,4.2,,08:00-21:00,周一至周日 08:00-21:00,010-64529385,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0040,sample_olympic_forest,奥林匹克森林公园,B0FFH270NP,北京奥林匹克公园中心区综合服务站便利店(科荟路店),convenience_retail,便利店,购物服务;便民商店/便利店;便民商店/便利店,060200,奥林匹克公园科荟路1号站,鸟巢,116.392759,40.009864,977,501-1000m,3.9,,06:00-22:00,周一至周日 06:00-22:00,,os_convenience,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0041,sample_olympic_forest,奥林匹克森林公园,B0FFH8HO4I,心都瑜伽(宝盛里店),yoga_pilates,普拉提,体育休闲服务;运动场馆;健身中心,080111,宝盛里中关村智诚科创大厦4层417号,清河,116.370520,40.037413,2787,1501-3000m,4.2,140.00,09:00-21:00,周一至周日 09:00-21:00,15701313221,os_pilates,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0042,sample_olympic_forest,奥林匹克森林公园,B0FFHC513F,月色码头·啤酒花园(新奥购物中心店),restaurant,餐厅,餐饮服务;中餐厅;中餐厅,050100,北辰东路15号(奥林匹克公园地铁站D东南口步行90米),北辰,116.394289,40.000573,2018,1501-3000m,4.5,109.00,16:00-02:00,周一至周日 16:00-02:00,18612037563,os_restaurant,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0043,sample_olympic_forest,奥林匹克森林公园,B0FFHCE2HY,肯德基(大屯路店),fast_food,小吃快餐,餐饮服务;快餐厅;快餐厅,050300,北京城区3B号朝阳区北辰东路与大屯路交叉口西侧地下B1夹层与B1层B01M-03A&B01-03B号,北辰,116.399394,40.002932,1853,1501-3000m,4.5,36.00,08:00-22:00,周六至周日 10:00-22:00；周一至周五 08:00-22:00,18101221303,os_fast_food,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
AMAP-POI-0044,sample_olympic_forest,奥林匹克森林公园,B0FFHFXOWW,大成仓网羽(国网南区店),sports_supply,运动装备,购物服务;体育用品店;体育用品店,060900,林萃路2号奥林匹克森林公园南园(网球馆A馆/K区前台旁边),鸟巢,116.376539,40.011575,1546,1501-3000m,4.4,,09:00-20:00,周六至周日 09:00-20:00；周一至周五 13:00-20:00,18501070730,os_sports_supply,not_in_pdf_seed,,,needs_boundary_filter,api_returned_needs_boundary_filter,medium,按公园和高德 POI ID 去重；仍需公园边界/入口节点过滤和现场营业核验。
